Tên địa điểm,Mô tả,Tỉnh thành,Thể loại,Link google map,ID Ảnh URL địa điểm
Nhà thờ Đức Bà,"nhà thờ Đức Bà Sài Gòn là một trong những địa điểm du lịch nổi bật nhất nơi đây, còn được biết đến với cái tên khác là Nhà thờ chính tòa Đức Bà Sài Gòn hay Vương cung thánh đường chính tòa Đức Mẹ Vô nhiễm Nguyên tội. Bên trong thánh đường được thiết kế thành 1 lòng chính, 2 lòng phụ cùng 2 dãy nhà nguyện. Phía trước thánh đường có công viên với 4 đường giao nhau tạo thành hình thánh giá và là hiện tại nhà thờ đang được trùng tu, dự kiến đến năm 2027 mới hoàn thành.",Hồ Chí Minh,"Nhà thờ, Công trình kiến trúc",https://maps.app.goo.gl/2KF4MHJamqcUwsQt5,1_e2VoRYR0oaLWYZ2EsnE2dDgg4RPqKF8
Công viên nước Đầm Sen,"Công viên nước Đầm Sen là một trong những điểm đến hàng đầu ở Sài Thành, nơi bạn được thả mình vào các trò chơi giải trí đa dạng và thú vị, phục vụ mọi sở thích và độ tuổi, mang đến cho bạn những trải nghiệm tuyệt vời.",Hồ Chí Minh,"Khu vui chơi, Công viên",https://maps.app.goo.gl/qtkf38ZV3zK1EWkr5,1wzdmhiw-mZ_lfO8f6NX0Z1OMBGcqUbFx
Nhà hát Thành phố Hồ Chí Minh,"Nhà hát thành phố được đích thân kiến trúc sư Eugène Feret thiết kế và khánh thành năm 1900. Không gian giải trí trang trọng của thành phố này chịu ảnh hưởng của nhà hát Petit Palais khởi công cùng năm ở kinh đô Paris. Nét đặc sắc nhất nơi đây mà khách tham quan cần lưu ý chính là ngói lợp bằng dòng Ardoise, đây cũng là công trình duy nhất của thành phố được lợp bằng ngói này",Hồ Chí Minh,"Công trình kiến trúc, Điểm chụp ảnh đẹp",https://maps.app.goo.gl/Q6Z8VCzUYg2LpNRMA,1Kg6D4_t2d_6cBPlkAVGwTG45X_x4crQi
Bến Nhà Rồng,"Bến Nhà Rồng là một di tích lịch sử nổi tiếng ở trung tâm Thành phố Hồ Chí Minh. Đây là điểm tham quan gắn liền với câu chuyện đi tìm đường cứu nước của Chủ tịch Hồ Chí Minh. Sau khi chiến tranh miền Nam kết thúc, Bến Nhà Rồng đã được tu sửa và cải tạo lại công trình. Hiện nay, Bến Nhà Rồng có bốn khu vực chính là Bảo tàng Hồ Chí Minh, tượng đài Bác Hồ, khuôn viên bến cảng và đài phun nước. Các tín đồ du lịch vẫn thường hay gọi tòa nhà bảo tàng là Nhà Rồng và bến cảng ở ngay bên cạnh là Bến Nhà Rồng.",Hồ Chí Minh,"Di tích lịch sử, Bảo tàng",https://maps.app.goo.gl/HACtRzxzCEX9obDv6,1BhLDr76UhKpJ7PxZVudDW41wyV-ZZ1ir
Công viên văn hóa Suối Tiên,"Công viên văn hóa Suối Tiên gây ấn tượng mạnh với du khách gần xa khi tích hợp đủ loại hình vui chơi hiện đại, độc đáo với phong cách tri ân văn hóa ấn tượng. Chẳng hạn như các công trình được xây theo thần thoại, truyền thuyết Việt Nam như: Sơn Tinh – Thủy Tinh, Vua Hùng, Lạc Long Quân – Âu Cơ… Những trò chơi được yêu thích nhất tại đây có thể kể đến như: rạp phim 3D/4D, phi thuyền đại chiến các vì sao, đường đua xe siêu tốc…",Hồ Chí Minh,"Khu vui chơi, Công viên",https://maps.app.goo.gl/dyk6r5mp9DJrnXnB7,1IljgPczGK-oGguDRV4iikQOz6h0_QgaF
Landmark 81,"Landmark 81 là công trình kiến trúc bề thế tại trung tâm thành phố với chiều cao lên đến 470m và là tòa nhà cao nhất nước ta tính đến nay. Tại địa điểm du lịch Sài Gòn này bạn sẽ được thỏa chí vui chơi, tham gia vào nhiều dịch vụ tiện ích và mua sắm thả ga. Những địa điểm được yêu thích nhất ở đây là: rạp CGV, sân băng Vincom Ice Rink",Hồ Chí Minh,"Công trình kiến trúc, Trung tâm thương mại",https://maps.app.goo.gl/uKc7eWYV9AfutJLKA,14TZtY3DA4MHcT-d1ig5N8H67EV8_j1l3
Địa đạo Củ Chi,"Khu di tích Địa đạo Củ Chi cách trung tâm thành phố khá xa nhưng rất được khách du lịch nước ngoài yêu thích. Trước đây địa đạo từng là hệ thống phòng thủ, căn cứ kháng chiến của quân dân miền Nam.",Hồ Chí Minh,"Di tích lịch sử, Danh lam thắng cảnh",https://maps.app.goo.gl/Xrdjkrtqvwfuf3Qt9,1Hn4F3SBUk7jwXhndKwWyPWoAPoxASPvH
Bảo tàng mỹ thuật TP.HCM,"Một địa điểm du lịch Sài Gòn mang đậm giá trị nghệ thuật và lịch sử, trước đây là căn nhà của gia đình ông Hứa Bổn Hòa, một trong tứ đại gia Sài Gòn cuối thế kỷ 19. Bảo tàng Mỹ thuật TP. HCM mang kiến trúc Pháp cổ cuối thế kỷ 19 – đầu thế kỷ 20, mang nét hài hòa giữa Đông và Tây nhờ mái ngói, cột ốp gốm và hoa văn đậm chất dân gian của những viên gạch dưới sàn nhà…",Hồ Chí Minh,"Bảo tàng, Phòng triển lãm",https://maps.app.goo.gl/puvXEgoRm5q6kfJV9,1aNVYaTVB1y4Orp_nUkSSVxQwhwv9xOBw
Bảo tàng lịch sử TP.HCM,"Bảo tàng lịch sử TP. HCM là một bảo tàng độc đáo được khách du lịch Sài Gòn yêu thích khi được thiết kế đối xứng theo bản vẽ của kiến trúc sư Auguste Delaval. Hệ thống hành lang rộng giúp hứng ánh sáng tự nhiên từ sân, sử dụng kiểu cửa sổ sát mái giúp tránh tình trạng nóng ẩm. Hiện tại trong bảo tàng có trưng bày khoảng 36.000 hiện vật phản ánh lịch sử Việt Nam qua nhiều thời kỳ.",Hồ Chí Minh,"Bảo tàng, Di tích lịch sử",https://maps.app.goo.gl/wywj2qquBWCtTydn9,14VchRVpA-Wj2wcvuKm91MGbtFytei5rg
Tòa nhà Bitexco,"Bitexco Financial Tower (hay còn được gọi tắt là Bitexco Tower) là một tòa nhà có độ cao thứ hai tại Thành phố Hồ Chí Minh (sau Landmark 81). Tòa nhà Bitexco có 68 tầng nổi và 3 tầng hầm và được hoàn thiện vào giai đoạn cuối năm 2010. Vì số lượng tầng là 68, thế nên, Bitexco còn có một trung tâm thương mại với tên gọi là Icon68.",Hồ Chí Minh,"Công trình kiến trúc, Điểm chụp ảnh đẹp",https://maps.app.goo.gl/rN74hbTppKuxHdfF6,1hDza3DwwHGzJC4dLBMFl4tnu6Gn-QHlu
Phố đi bộ Nguyễn Huệ,"Phố đi bộ Nguyễn Huệ là điểm đến được yêu thích vào mỗi cuối tuần. Từ khi đoạn đường dài 670m và rộng 64m này được đưa vào khai thác từ năm 2005 thì nó đã trở thành điểm đến hàng đầu của người dân và cả giới trẻ địa phương. Bên cạnh đài phun nước lớn, hệ thống cây xanh, chúng ta còn có cơ hội được thưởng thức ẩm thực Sài Gòn đặc sắc trên phố đi bộ.",Hồ Chí Minh,"Phố đi bộ, Điểm chụp ảnh đẹp",https://maps.app.goo.gl/BJvqEj3XejixHNRp6,1HnqeDbJMdFm_CeTHt9tAdWAQT2AFqxKi
Phố đi bộ Bùi Viện,"phố đi bộ Bùi Viện đã trở thành một tụ điểm vui chơi nhộn nhịp và nổi tiếng trong cộng đồng các bạn trẻ ở quận 1. Dưới những ánh đèn neon đủ màu sắc cùng âm nhạc rộn ràng vang vọng, đến với phố Bùi Viện những bạn trẻ đam mê không khí nhộn, nhịp sôi động như tìm được một phần của chính mình.",Hồ Chí Minh,"Phố đi bộ, Quán bar, Chợ đêm",https://maps.app.goo.gl/tkQPvLKsBRLqZd2P6,12NMn0XnE3zTYF2avIl0Ycv7pklbLQ_Fx
Rừng Sác Cần Giờ,"Chỉ cách nội đô thành phố khoảng chừng 50km, Rừng Sác Cần Giờ là điểm đến xanh dành cho những tâm hồn đam mê khám phá thiên nhiên, hoặc muốn tìm hiểu về trang sử vàng dân tộc. Được UNESCO vinh danh là Khu dự trữ sinh quyển thế giới đầu tiên tại Việt Nam, Rừng Sác Cần Giờ như lá phổi xanh giữa lòng phố thị, đồng thời là ‘nhà’ của rất nhiều loài động, thực vật quý, kể cả những cái tên nằm trong Sách Đỏ, như khỉ đuôi dài, cá sấu hoa, trăn đất, kỳ đà, tắc kè cùng nhiều loại chim, cò khác.",Hồ Chí Minh,"Thiên nhiên, Rừng ngập mặn, Khu bảo tồn, Đi bộ đường dài, Chèo thuyền",https://maps.app.goo.gl/rns7cAqkVSKF4zo98,1p4UnjZQE_LlN5xBZOmf0spHQ0WjcEJ-N
Khu du lịch sinh thái Bình Quới,"Khu du lịch Bình Quới cách trung tâm thành phố khoảng 8km, thích hợp cho những chuyến dã ngoại cùng gia đình. Đến đây bạn sẽ được tận hưởng không gian làng quê Nam Bộ cùng những hình ảnh mộc mạc quen thuộc như lu nước, cầu khỉ, xuồng ba lá… Nhiều trò chơi cũng được tái hiện đặc sắc như chèo thuyền, câu cá…",Hồ Chí Minh,"Thiên nhiên, Picnic, Cắm trại,Địa điểm tham quan miễn phí",https://maps.app.goo.gl/uLPxVFydx5R188Hg9,1m3b0yhQVVVfEUAlOA2CHWPmWiAQdjtYl
Khu du lịch sinh thái Song Long,"Khu du lịch Song Long có vị trí đắc địa ngay bên dòng sông Đồng Nai và được bao phủ bởi những hàng cây xanh mát. Nơi đây vẫn có diện tích khá lớn, được thiết kế như “miền Tây thu nhỏ” với những con rạch cùng hàng dừa tỏa bóng mát.",Hồ Chí Minh,"Thiên nhiên, Cắm trại, Khu vui chơi",https://maps.app.goo.gl/FZhSJoBF6oAmZDge7,1r4pRscLsgD4LwCfXMsw4B4DVNrQ7zoRU
Bưu điện Thành Phố,Bưu điện Thành phố hay Bưu điện Trung tâm Sài Gò nằm ngay bên hông của nhà thờ Đức Bà. Đây là một địa điểm du lịch hấp dẫn đưa chúng ta đi chiêm ngưỡng nét giao thoa văn hóa độc đáo giữa Đông và Tây trong từng đường nét.,Hồ Chí Minh,"Di tích lịch sử, Công trình kiến trúc",https://maps.app.goo.gl/oiRvBCMmFQizon146,16B2JZ1RMf7K3mbd676nYkc06hzDdkMWw
Chợ Hồ Thị Kỷ,"Chợ Hồ Thị Kỷ được biết đến là một khu chợ hoa đầu mối lớn nhất Tp.HCM, nhưng lại nổi tiếng với danh xưng “thiên đường ẩm thực” sầm uất của giới trẻ Sài Thành. Đến với chợ ẩm thực Hồ Thị Kỷ, các bạn sẽ phải “phát thèm” với những món ăn vặt ngon nức mũi.",Hồ Chí Minh,"Chợ truyền thống, Ẩm thực, Phố ẩm thực",https://maps.app.goo.gl/4PcNDpziugYP3DGNA,18yxYacPwe5yHpU66t3EQH7cAY7Rwv98x
Khu du lịch sinh thái Dần Xây,"Khu du lịch sinh thái Dần Xây sẵn sàng chào đón bạn với rất nhiều trải nghiệm độc đáo như nghỉ dưỡng ở chòi trên sông, cắm trại trong rừng ngập mặn, tham gia trồng rừng phòng hộ, trải nghiệm sống cùng người dân địa phương… Thật không ngoa khi nói khu du lịch Dần Xây như một ”ốc đảo xanh” tuyệt đẹp của thành phố mang tên Bác.",Hồ Chí Minh,"Thiên nhiên, Cắm trại, Chèo thuyền",https://maps.app.goo.gl/X5E4tcydS3qLwyVN7,1kDkd68my7_agmUQJY9Q1B0Zb-NrDPBBg
Khu du lịch Thủy Châu,"khu du lịch Thủy Châu ở Bình Dương để được hòa mình vào thiên nhiên xanh, mát mẻ, có sông, suối, hồ và thác nhân tạo tuyệt đẹp. Nơi đây nổi tiếng với không xanh tươi mát với nhiều hoạt động vui chơi giải trí thú vị. Đặc biệt, với hồ thác nhân tạo hàng ngàn mét vuông, khu du lịch này sẽ là điểm đến cho gia đình, bạn bè giảm stress cuối tuần.",Bình Dương,"Thiên nhiên, Suối, Picnic, Khu vui chơi",https://maps.app.goo.gl/ACCMwHuxqZdXeEkh7,1eX7IoYxuxvqbUldtN5_xPyS0efw4fqqJ
Công viên trung tâm Thành phố mới Bình Dương,"Với không gian thiên nhiên xanh mướt, công viên này còn là địa điểm lý tưởng để thực hiện các hoạt động ngoại khóa, chụp ảnh check-in ấn tượng. Các ý tưởng thiết kế từ Singapore cho hệ thống vòi nước, tiểu cảnh, hồ cá,... sẽ là những khu vực cho bạn tham quan và thoải mái “sống ảo”.",Bình Dương,"Công viên, Địa điểm tham quan miễn phí",https://maps.app.goo.gl/RxgZc1VVWPD2eJUw5,1TpXyXyZM1VV293X8ks3k4XSxybV0SK9c
